label	module	reason	context	source_line
FIND_STARTING_VALUES	BACKGRND	module_walk_desync	line=1357 src=LDI rom=ABSF at=0x0000424E	1357
GETCOIN	COIN	module_walk_desync	line=305 src=LDI rom=CALL at=0x00007401	305
CLEAR_LINK	COMMQ	rom_data_in_code	line=662 src=LDI rom_words=45 source_words=0 rom_data_at=0x0000779D next_code=0x000077CA	662
WT_START	DIAG	module_walk_desync	line=2503 src=LDI rom=ABSI at=0x00000DE5	2503
FIND_PLAYERS_POSITION	DRONES	rom_data_in_code	line=221 src=LDI rom_words=159 source_words=0 rom_data_at=0x00006618 next_code=0x000066B7	221
SCREENWIPE_OPEN	EFFECTS	module_walk_rom_exhausted	line=70 matched=6 src_ops=254 rom_ops=6	70
INSERT_INITS	HSTDP	module_walk_desync	line=1714 src=LDI rom=ABSF at=0x000035F5	1714
CNR_ENTER	INTRO	module_walk_desync	line=2055 src=LDI rom=ABSI at=0x00001A88	2055
_COSI	MATH	rom_data_in_code	line=359 src=MPYF rom_words=18 source_words=0 rom_data_at=0x000095B3 next_code=0x000095C5	359
TEST_STATIC_CHIPS	MEMTEST	module_walk_desync	line=228 src=PUSH rom=LDI at=0x00006301	228
INITIALIZATION_MOTION_CHECK	MOTION	rom_data_in_code	line=643 src=RPTS rom_words=5 source_words=4 rom_data_at=0x00004695 next_code=0x0000469A	643
PRC_CREATE	MPROC	rom_data_in_code	line=452 src=ANDN rom_words=15 source_words=0 rom_data_at=0x0000A911 next_code=0x0000A920	452
DIFF_CHANGE	RACER	rom_data_in_code	line=85 src=LDI rom_words=462 source_words=0 rom_data_at=0x000050BF next_code=0x0000528D	85
RHO_DIE	RHO	rom_data_in_code	line=714 src=LDI rom_words=43 source_words=0 rom_data_at=0x000098E4 next_code=0x0000990F	714
PLYRROADKILL	ROADKILL	rom_data_in_code	line=703 src=RETS rom_words=40 source_words=0 rom_data_at=0x00006AD6 next_code=0x00006AFE	703
DIV_F	ROUTS	module_walk_desync	line=69 src=POP rom=PUSH at=0x0000A535	69
FLYTRAIN	RROAD	rom_data_in_code	line=425 src=PUSH rom_words=243 source_words=0 rom_data_at=0x00009C1B next_code=0x00009D0E	425
CHANGE_STATION	SND	rom_data_in_code	line=153 src=PUSH rom_words=10 source_words=0 rom_data_at=0x0000910E next_code=0x00009118	153
TEXT_INIT	TEXT	rom_data_in_code	line=89 src=LDI rom_words=1 source_words=0 rom_data_at=0x0000798A next_code=0x0000798B	89
_rdma	TOTALA	module_walk_desync	line=89 src=STI rom=LDI at=0x0000AF1B	89
CLEANUP_TRACKSEL_PALS	TRACKSEL	rom_data_in_code	line=844 src=LDI rom_words=241 source_words=0 rom_data_at=0x00006ECD next_code=0x00006FBE	844
TRANSCHOICE	TRANS	rom_data_in_code	line=768 src=LDI rom_words=983 source_words=0 rom_data_at=0x00005BF5 next_code=0x00005FCC	768
SETPAGE0	UTIL	module_walk_desync	line=221 src=PUSH rom=ABSF at=0x00008EBE	221
WAVE	WAVE	module_walk_desync	line=394 src=CALL rom=LDI at=0x000093FD	394
