module	total_instruction_lines	covered_instruction_lines	uncovered_instruction_lines	coverage_pct	walk_complete	uncovered_ranges	walk_ranges
ATTRACTA	233	233	0	100.00	yes		35-395:_MIDWAYSPIN
ATTRDRNE	1065	1065	0	100.00	yes		73-1708:ATTRACT_DELTA
AUDITS	108	108	0	100.00	yes		64-369:COMPUTE_FREEGAMES_PRCNT
BACKGRND	1277	1277	0	100.00	yes		85-2414:FIND_STARTING_VALUES
BONUS	1329	1329	0	100.00	yes		104-2279:BONUS_SANFRAN
CHOPPER	711	711	0	100.00	yes		82-1671:DIRECT_ATTACK
CMOS	475	475	0	100.00	yes		26-1095:HSTDEC
COIN	660	660	0	100.00	yes		26-1380:COIN1
COLLA	2374	2374	0	100.00	yes		60-4146:CAMSCAN
COMM	698	698	0	100.00	yes		51-1181:COMM_INIT
COMMDRNE	192	192	0	100.00	yes		74-404:COMM_DRONE
COMMQ	722	722	0	100.00	yes		73-1515:CLEAR_LINK
COMP	278	278	0	100.00	yes		132-700:INPUT_BITS
CUSA	1196	1196	0	100.00	yes		153-2257:_c_int00
DELTA	144	144	0	100.00	yes		36-285:DELTA_OINIT
DIAG	2092	2092	0	100.00	yes		27-4182:WT_START
DIRQ	1439	1439	0	100.00	yes		131-2837:DIRQ
DRONES	818	818	0	100.00	yes		58-1819:POSITION_FINDER
EFFECTS	13	13	0	100.00	yes		60-429:SCREENWIPE_OPEN
ERROR	200	200	0	100.00	yes		62-357:ERROR_LOG
FLAME	166	166	0	100.00	yes		45-285:FLAME_PRC
FONT1A	268	268	0	100.00	yes		34-472:ENABLEGIE
HEADS	262	262	0	100.00	yes		27-475:TEXTDELER
HOTTUB	446	446	0	100.00	yes		40-847:HOTTUB_SCENE
HPMATH	81	81	0	100.00	yes		18-149:_HPsin
HSTDP	1841	1841	0	100.00	yes		108-3004:ENTER_INITIALS
HUD	348	348	0	100.00	yes		58-709:MOVEIN_HUD_EQUIP
INFIN	465	465	0	100.00	yes		39-861:FIND_HIGHEST_ROADY
INTRO	2127	2127	0	100.00	yes		54-3843:HEAD2HEAD_LOGO_WAIT
LEG	233	233	0	100.00	yes		78-598:LEG_INIT
LINE	206	206	0	100.00	yes		18-362:_rectangle
MAP	970	970	0	100.00	yes		82-1591:UNFOLDMAP
MATH	558	558	0	100.00	yes		36-1154:_COSI
MEMTEST	539	539	0	100.00	yes		227-1079:TEST_STATIC_CHIPS
MOTION	1123	1123	0	100.00	yes		71-2242:INITIALIZATION_MOTION_CHECK
MPROC	213	213	0	100.00	yes		40-627:PRC_DEBUG_CHECK
OBJ	765	765	0	100.00	yes		43-1447:OBJ_INIT
OVERLAY	138	138	0	100.00	yes		38-368:SECTION_ROUTINE
PALL	348	348	0	100.00	yes		43-788:PAL_INIT
PLYR	2065	2065	0	100.00	yes		153-3560:GETCARPARAM
RACER	1261	1261	0	100.00	yes		64-2234:DIFF_CHANGE
RHO	454	454	0	100.00	yes		105-925:RHO_START
ROADBLCK	108	108	0	100.00	yes		52-264:INIT_RDDEBRIS
ROADKILL	838	838	0	100.00	yes		53-1410:PLYRROADKILL
ROUTS	278	278	0	100.00	yes		67-806:DIV_F
RROAD	403	403	0	100.00	yes		38-931:RRSTART_ENGINE
SETUPS	599	599	0	100.00	yes		24-934:CLEANUP_PALS
SIGMA	249	249	0	100.00	yes		78-521:SIGMA_DRONE
SMOKE	622	622	0	100.00	yes		43-1033:SMOKE_PROC
SND	531	531	0	100.00	yes		62-991:RADIO_SHOW
TEXT	578	578	0	100.00	yes		45-1019:TEXT_INIT
TOTALA	103	103	0	100.00	yes		38-248:_rdma
TRACKSEL	716	716	0	100.00	yes		52-1318:TRACK_SELECTION
TRANS	942	942	0	100.00	yes		38-1475:CHOOSE_TRANSMISSION
UTIL	584	584	0	100.00	yes		64-1309:SETPAGE0
WAVE	252	252	0	100.00	yes		39-1010:WAVE
WHEEL	87	87	0	100.00	yes		35-173:NUWHEEL
BSSSTART	0	0	0	0.00	yes		
CKSUM	0	0	0	0.00	yes		
COINTAB	0	0	0	0.00	yes		
CORNOBJ	0	0	0	0.00	yes		
DATE	0	0	0	0.00	yes		
FONT	0	0	0	0.00	yes		
GALIL	0	0	0	0.00	yes		
H2HOBJ	0	0	0	0.00	yes		
INVTAB30	0	0	0	0.00	yes		
OBJECTS	0	0	0	0.00	yes		
SNDTABA	0	0	0	0.00	yes		
TEXTTAB	0	0	0	0.00	yes		
